attr_key,attr_value,item,ExcRate,AEL,n
age,unknown,House Sitting,1.0,0.067,1
age,22+,Identify Stress Triggers,0.5,0.0,12
age,<22,Identify Stress Triggers,0.571,0.11,7
age,unknown,Identify Stress Triggers,0.0,-0.526,1
age,22+,In-the-Moment Coping Techniques,0.917,0.417,12
age,<22,In-the-Moment Coping Techniques,0.429,-0.495,7
age,unknown,In-the-Moment Coping Techniques,1.0,0.263,1
age,22+,Leverage Existing Support Systems,0.667,-0.333,12
age,<22,Leverage Existing Support Systems,1.0,0.308,7
age,unknown,Leverage Existing Support Systems,1.0,0.211,1
age,22+,Merchandise Sales,0.917,-0.083,12
age,<22,Merchandise Sales,1.0,0.077,7
age,unknown,Merchandise Sales,1.0,0.053,1
age,22+,Mindful Movement and Breathwork,0.667,0.042,12
age,<22,Mindful Movement and Breathwork,0.571,-0.121,7
age,unknown,Mindful Movement and Breathwork,1.0,0.368,1
age,22+,Odd Jobs/Handyman Services,0.857,0.257,7
age,<22,Odd Jobs/Handyman Services,0.5,-0.375,4
age,unknown,Odd Jobs/Handyman Services,1.0,0.273,1
age,22+,Online Courses/Digital Products,0.5,-0.3,10
age,<22,Online Courses/Digital Products,0.75,0.205,4
age,unknown,Online Courses/Digital Products,1.0,0.429,1
age,22+,Online Surveys/Microtasks,0.818,0.693,11
age,<22,Online Surveys/Microtasks,0.0,-0.833,7
age,unknown,Online Surveys/Microtasks,1.0,0.5,1
age,22+,Online Tutoring/Teaching,0.5,0.5,10
age,<22,Online Tutoring/Teaching,0.0,-0.5,3
age,unknown,Online Tutoring/Teaching,,,0
age,22+,Pet Sitting/Dog Walking,0.778,0.349,9
age,<22,Pet Sitting/Dog Walking,0.333,-0.467,6
age,unknown,Pet Sitting/Dog Walking,1.0,0.4,1
age,22+,Photography,0.9,-0.1,10
age,<22,Photography,1.0,0.091,5
age,unknown,Photography,1.0,0.067,1
age,22+,Physical Well-being and Recovery,0.75,-0.125,12
age,<22,Physical Well-being and Recovery,0.857,0.088,7
age,unknown,Physical Well-being and Recovery,1.0,0.211,1
age,22+,Prioritize and Organize,0.417,0.042,12
age,<22,Prioritize and Organize,0.286,-0.176,7
age,unknown,Prioritize and Organize,1.0,0.632,1
age,22+,Private Coaching/Lessons,0.667,-0.333,9
age,<22,Private Coaching/Lessons,1.0,0.333,1
age,unknown,Private Coaching/Lessons,,,0
age,22+,Proactive and Preventative Strategies,0.833,0.208,12
age,<22,Proactive and Preventative Strategies,0.571,-0.275,7
age,unknown,Proactive and Preventative Strategies,1.0,0.263,1
age,22+,Renting out a spare room/property,0.875,,8
age,<22,Renting out a spare room/property,,,0
age,unknown,Renting out a spare room/property,,,0
age,22+,Renting out your car,0.875,,8
age,<22,Renting out your car,,,0
age,unknown,Renting out your car,,,0
age,22+,Reselling Items,0.833,0.208,12
age,<22,Reselling Items,0.571,-0.275,7
age,unknown,Reselling Items,1.0,0.263,1
age,22+,Ridesharing,0.5,0.5,8
age,<22,Ridesharing,0.0,-0.5,2
age,unknown,Ridesharing,,,0
age,22+,Selling Crafts/Art,0.75,0.125,12
age,<22,Selling Crafts/Art,0.571,-0.198,7
age,unknown,Selling Crafts/Art,1.0,0.316,1
age,22+,Selling Digital Products,1.0,0.0,11
age,<22,Selling Digital Products,1.0,0.0,4
age,unknown,Selling Digital Products,1.0,0.0,1
age,22+,Session Work/Recording,1.0,0.25,8
age,<22,Session Work/Recording,1.0,0.111,3
age,unknown,Session Work/Recording,0.0,-1.0,1
age,22+,Simple Stress Relief Techniques,0.833,-0.042,12
age,<22,Simple Stress Relief Techniques,0.857,0.011,7
age,unknown,Simple Stress Relief Techniques,1.0,0.158,1
age,22+,Social Media Management,0.727,0.561,11
age,<22,Social Media Management,0.0,-0.75,5
age,unknown,Social Media Management,1.0,0.5,1
age,22+,Task-Based Apps,0.727,-0.148,11
age,<22,Task-Based Apps,0.857,0.107,7
age,unknown,Task-Based Apps,1.0,0.222,1
age,22+,Time Management and Organization,0.5,0.0,12
age,<22,Time Management and Organization,0.429,-0.11,7
age,unknown,Time Management and Organization,1.0,0.526,1
age,22+,Transcription Services,0.818,0.068,11
age,<22,Transcription Services,0.714,-0.119,7
age,unknown,Transcription Services,1.0,0.222,1
age,22+,Tutoring/Academic Coaching,0.3,-0.367,10
age,<22,Tutoring/Academic Coaching,0.667,0.367,3
age,unknown,Tutoring/Academic Coaching,,,0
age,22+,Vehicle Transport,1.0,1.0,5
age,<22,Vehicle Transport,0.0,-1.0,1
age,unknown,Vehicle Transport,,,0
age,22+,Virtual Assistant Work,0.667,0.333,12
age,<22,Virtual Assistant Work,0.2,-0.492,5
age,unknown,Virtual Assistant Work,1.0,0.471,1
age,22+,Web Design/Development,0.444,0.044,9
age,<22,Web Design/Development,0.25,-0.25,4
age,unknown,Web Design/Development,1.0,0.615,1
age,22+,Website Testing,1.0,0.25,12
age,<22,Website Testing,0.714,-0.286,7
age,unknown,Website Testing,1.0,0.105,1
age,22+,Writing/Editing,1.0,0.0,10
age,<22,Writing/Editing,1.0,0.0,4
age,unknown,Writing/Editing,1.0,0.0,1
